event_id,event_name,event_type_description,event_type_main,organizers,region_name,city_name,city_id,venue_id,venue_name,venue_address
4436,e4f26fba-da77-4c61-928a-6c3e434d793f,спектакль,театр,№4893,Североярская область,Озёрск,2,1600,"Кладбище искусств ""Проблема"" и партнеры","наб. Загородная, д. 785"
5785,5cc08a60-fdea-4186-9bb2-bffc3603fb77,спектакль,театр,№1931,Светополянский округ,Глиноград,54,2196,"Лекции по искусству ""Свет"" Групп","ул. Ягодная, д. 942"
8817,8e379a89-3a10-4811-ba06-ec22ebebe989,спектакль,театр,№4896,Североярская область,Озёрск,2,4043,"Кинокомитет ""Золотая"" Инк","ш. Коммуны, д. 92 стр. 6"
8849,682e3129-6a32-4952-9d8a-ef7f60d4c247,спектакль,театр,№4960,Каменевский регион,Глиногорск,213,1987,"Выставка ремесел ""Свет"" Лтд","пер. Набережный, д. 35"
8850,d6e99176-c77f-4af0-9222-07c571f6c624,спектакль,театр,№4770,Лесодальний край,Родниковец,55,4230,"Фестивальный проект ""Листья"" Групп","пер. Проезжий, д. 9"
8858,08008ffd-331c-4d77-8aad-c91691f87388,спектакль,театр,№896,Каменевский регион,Глиногорск,213,2148,"Лекции по искусству ""Хоровод"" и партнеры","пер. 50 лет Победы, д. 21 к. 90"
8863,2dc56536-e5ae-4d3a-9f00-f39c0ebe5b65,спектакль,театр,№3977,Медовская область,Радужсвет,47,2897,"Фестиваль уличного искусства ""Начало"" Инкорпорэйтед","алл. Урицкого, д. 4/5 к. 1/3"
9041,1ab79186-41a8-420e-b618-dea51afd2c6f,спектакль,театр,№3582,Светополянский округ,Глиноград,54,3922,"Творческое агентство ""Симфония"" Лтд","бул. К.Маркса, д. 8/6"
9942,474ca8f8-3525-4ac0-9a98-4c1045e2fa6d,спектакль,театр,№1797,Широковская область,Радужнополье,35,3975,"Кабинет Искусств ""История"" и партнеры","пр. Гайдара, д. 4 к. 7/1"
9992,e36939d8-ef42-4f64-bd72-5a4199dd98f5,спектакль,театр,№1774,Тепляковская область,Горнодолинск,43,3959,"Эстетика ""Rhythm"" Инкорпорэйтед","ш. Вахитова, д. 7/8"
10000,016f0cba-403e-4b9f-a0f0-7f2f9b5f576a,спектакль,театр,№1691,Травяная область,Родниковск,22,2355,"Театр молодежи ""Забавный"" Групп","пр. Фрунзе, д. 454 стр. 160"
10001,141cc2fd-c694-48a8-8356-927b35e9a61f,спектакль,театр,№1691,Травяная область,Родниковск,22,2355,"Театр молодежи ""Забавный"" Групп","пр. Фрунзе, д. 454 стр. 160"
10010,21002fd6-3354-449f-bb8b-5b81b951572a,спектакль,театр,№1691,Травяная область,Родниковск,22,2355,"Театр молодежи ""Забавный"" Групп","пр. Фрунзе, д. 454 стр. 160"
10015,6a9aae29-36ef-4d01-b717-90b4bfbb1338,спектакль,театр,№1691,Травяная область,Родниковск,22,2355,"Театр молодежи ""Забавный"" Групп","пр. Фрунзе, д. 454 стр. 160"
10036,3554c548-d6e5-4a50-a5f9-8c0011f62c9f,балет,театр,№1874,Каменевский регион,Глиногорск,213,2304,"Творческое объединение ""Гармония"" Инк","наб. Партизанская, д. 47"
